X,Y,Vx,Vy,X_gt,Y_gt,Vx_gt,Vy_gt
88.448965,22.871234,0.850925,0.211023,88.490448,22.974510,1.232475,-0.450514
89.510300,22.311544,0.007851,-0.002528,89.714478,22.501730,1.151377,-0.468904
89.798676,22.434892,0.624741,0.151969,89.714478,22.501730,1.151377,-0.468904
90.523284,21.670119,0.005387,-0.004596,90.857986,22.014090,1.079294,-0.481241
90.870598,22.014751,0.751610,0.175389,90.857986,22.014090,1.079294,-0.481241
91.729874,21.118047,0.006335,-0.005063,91.930222,21.517410,1.016984,-0.488964
92.078019,21.444043,0.659126,0.147367,91.930222,21.517410,1.016984,-0.488964
92.870454,20.956067,0.005872,-0.002282,92.941109,21.016029,0.964993,-0.493443
93.331532,21.029891,0.664510,0.146303,92.941109,21.016029,0.964993,-0.493443
93.477550,20.217860,0.001145,-0.005079,93.901093,20.512951,0.923690,-0.495919
93.764644,20.433768,0.627424,0.132073,93.901093,20.512951,0.923690,-0.495919
95.332852,19.660592,0.011645,-0.004373,94.820938,20.009960,0.893308,-0.497439
94.517094,19.821070,0.514870,0.103742,94.820938,20.009960,0.893308,-0.497439
95.512092,19.700025,0.007407,0.000170,95.711609,19.507820,0.873980,-0.498816
95.613696,19.572018,0.586016,0.118655,95.711609,19.507820,0.873980,-0.498816
96.273438,19.161657,0.005062,-0.002622,96.584183,19.006550,0.865773,-0.500589
96.565854,18.844798,0.557845,0.105443,96.584183,19.006550,0.865773,-0.500589
97.537517,18.728678,0.007388,-0.000489,97.449959,18.505970,0.868716,-0.503009
97.536017,18.174519,0.637757,0.116675,97.449959,18.505970,0.868716,-0.503009
98.220670,18.375815,0.005378,0.001381,98.319771,18.004860,0.882805,-0.506023
98.415803,18.171553,0.562421,0.103714,98.319771,18.004860,0.882805,-0.506023
99.045282,17.358686,0.004832,-0.005618,99.204918,17.502960,0.908006,-0.509278
98.997035,17.217077,0.701125,0.115781,99.204918,17.502960,0.908006,-0.509278
100.008053,16.990084,0.007631,-0.000617,100.116501,17.000139,0.944242,-0.512134
100.446017,16.934574,0.626827,0.103937,100.116501,17.000139,0.944242,-0.512134
101.213825,16.538526,0.005880,-0.002422,101.065498,16.496960,0.991362,-0.513687
